aa	個
ac	apg, 的, 一些
activity	
advisor	的
ae	aum
afec	asset
aisamoney	非常歡迎
always	
amu	aum, aum
announce	
another	呃
asiamoney	money
asian	
balance	survival
ban	
bankging	consumerbanking
banks	
best	
bi	bis
boa	以及
bonus	多了齁, 是
brake	呆帳
brokerage	mortgage
busu	利基
buy	ir, 可以
by	
cape	方面
cardhol	cover
cardhold	的
cardlink	
cards	cost
carrefour	paypal, 開玩笑
cet	tier, q, gdp
chain	
co	cost
color	趴了
consultant	consumption
coveragage	也
covi	不
covid	一, 後面那
cpi	七加, eps, 十七年, eps
cs	bis
currency	
current	ratio
day	
dci	必須要, 第一類
delivetive	
delta	按照卡
depends	
der	cover的
digit	
division	
dninteen	是
driven	一塊
dywa	包括
epn	
eps	一千四, 以及
es	
esc	ucb
esg	double, 業界, 商業, 第二, 就, 業界, 因的, 因為, 也提, 裡面, 業s, 那其實, 營業, 一月本業, 醫, ecb, 營業, 你ncd, 業質, 業本, 應該, 業界, 一月網, 業界, 業界, 業界, 企業, 齁, ucb, ucb, 業界, 也取得
etf	一些
face	fixed
fail	fair, ir
fat	spread
feel	是
fees	fixed, fixed, 銀行
fi	f掉
financial	
fingo	gta
fit	
for	
forbes	bank
formosa	網路, 股東
frtb	會發七億
fvpl	equity, 欸, eps
giv	ir
global	波及的, 過
governance	expansion
gp	決定
gps	npl
grade	的
gri	
grm	揭露
holding	
home	
hrr	是
ht	
hte	asset
htt	在
ibc	機構
icu	
idc	it
if	
ihf	
ihs	
im	
impact	銀行
inaf	但這個
incomeand	income很
inf	imf
inflation	請, 開類也, 覺得
installment	
internal	裡頭
ipo	idrp
ir	他要, 呃還要, 的, 他
ird	idrp, 壓力, 阿法
irs	rm
issue	因素, 因素
ite	
ixml	開發沒有
jasons	階方
kpi	推
kyc	
later	個
limited	認列的
loan	的呃, 用, 業界
lock	
lockdown	麻煩
logo	中國
ltb	個
ltv	ldr, 的, ldr
managed	
mark	延動, market, market, market
marking	分額
max	在
maybe	每餘
mgm	
mission	目前
mma	國內
momo	
msci	
negative	那個
ni	對
nim	利差, 面下降, 因為, 十一月, 呃nim, 你, 明年
nineteen	一天
ninteen	季
not	不會
now	a
npl	邊, 的npl, 我們, 也
nri	nii, 大家
oc	二十
oci	公司, 公司, 二十, 二十, online, ldr, obu, 歐下來, 公司i, oc, 個, 盡量, ldr, 都
ok	可以, 還可以
online	房貸
only	呃
onlycard	一些
opec	
operating	break
oriented	
overlord	npl, 的bisratio
pb	企金
pbu	區域
pc	彼此
pchome	提希望, onetier, fixed, ecb
pecent	percent
percemt	個percent
percentc	percent
performers	都可能
persona	
pertcent	個percent
pi	開, 開業, 派包, 前, 台方, 開, 開, 台, income, 台北
picture	需求
pl	npl, 企業
position	本身
power	
powerpoint	
pread	spread
prime	
principle	
priv	
program	風險
project	嗎
pv	p, 哪
pvc	ecb
qa	如果, 機會
rank	在整個, 可能會
ranting	arating
rates	
ratings	
re	our, 兩百是
reopen	有可能, 流程
revenue	netrevenue, 的
roe	銀行roe, 的roe
run	讓
sales	自由
sanction	
sasb	
sb	ncd
sbt	一般
scoci	npl
sdt	
service	
servtive	的
single	
six	到
slightly	
sme	跟, 台幣, 就, 二sme, 的sme, 一, a
smp	sme, sme
sop	
spead	spread
spread	spray, 對, 不會, 各位, 對, 各位, 缺額, 會, 方面, 部分, 各, 會, 在, fed, spread呃, 不會, 各位, 的
ss	asset
straight	
supply	掃碼
supposely	
sustainalytics	的
svpi	
swot	
syngo	
tcfd	一, 比較低
team	淨值
teamwork	經過
test	
tmfd	第一
tnu	tmu
topec	都在
travel	的target
tw	一
twenty	預估
ubear	因為, e備, 啊
ubs	第二季, obu
um	呃
unlikely	好, minus
upc	ucb
very	
view	吼
voa	vip
voci	equity
volatility	策略
vp	預計, bp, bp, bp, bp, bp
vpl	att喔
workbase	
yo	yoy
you	obu
ytm	九月份
一七	佔
一下來	一下
一九一八一七	一九八年
一九九二年	一九九年, 一九點, 九月
一九九四年	呃利差有四年
一五	二零一二
一兆五	一兆我們
一兆四	一到四
一兩點	兩點
一八年	一般的
一千三百三十五	三百三十五
一千八百多億	是一千八百多億
一千六百億	對一千六百億
一千萬兩千萬	一千萬兩千萬是
一千零八十四億	一三零八十元
一同	一頭
一年期	一年
一慣	一貫
一成	
一時	一起
一本初衷	出賣
一模一樣	一樣
一百一十	一百一四
一百一十一點八億	十一百億一點八億
一百一十九	一百一十九點左右
一百一十六點零五	一百一十六點五
一百三十五點五億	一百三十五點五一, 一百三十五點五元
一百三十六九	一百三十二點六九
一百三十六點二零	一百三十六點二
一百三十六點五四	個一百三十六點五
一百三十四點二九	一百四點二九
一百三十四點八億	百分之一百三十四點八億
一百九十八點三億	一百九十八三億
一百二十六點十	一百二十六點七
一百五	一百
一百五十九點零五億	一百五十九點五億
一百五十八	一百五
一百五點二	一百五十點二
一百八十	呃
一百八十點二億	一百八十八億
一百六十八	把一百六十八
一百四十六點四億	一百四十六點七億
一百四十多萬	百分之多萬
一百零三點一三	一百零三點
一百零三點八	百分之一百零三點八
一致性	次性
一路	的
一點七幾	一點七四
一點三三	一點二零三
一點三四	一點四
一點二零	一點二個, 一點二零三, 一點所以
一點五九兆	點我覺得
一點五五兆	一點五兆
一點五六	三十一點五個
一點八五兆	一點八兆
一點六兆	一點六大
一點六兆多	一點六兆
一點四一點五	
一點四二一	一點四二點一億
一點四二年	一點四二的
一點四四	一點四一, 四十
七八八九月	七八九月
七十來億	七十八億, 七十八億
七十四點七	了七十四點七
七千億	七千
七百四十三點八	七百四三點八
七百多萬	七百萬
七點九六	十七點九六, 今年
七點五二	七點五
七點八億	七點七七點八億
三一零	三一, 一年
三三	三月
三兆	三, 三到, 三到
三八	上八
三十七八	但是其他
三十七點九	九個
三十二十點五	三十二點五
三十五點二	五點二
三十八點五	三點
三十六點四二億	三十六點那
三十六點零	三十六點一
三千三百六十六	三千三百
三千億十	三千十
三千兩百六十二億	三千兩百六十億
三千兩百零四億	當初兩百零四億
三千六百多億	三千六百多出來
三四五	單路
三四十	三
三四月	三次, 三月
三四月份	三十四月份
三百三十億	三百三十一
三百五十萬	三百一十萬
三點一	三點一七, 單點一
三點三億	三點三億新台幣
三點三兆	分別三大
三點四四	三點四
三點零二兆	三點六
三點零五兆	三點零兆
上上	上
上上下下	狀況下
上到	放到
上架	上
上班	放, 上
上綱	上班
上繳	上漲, 上漲
上臺	上海
上調	
上路	
下下	像, 下降
下下滑	一下下滑
下下降	下降
